date,semi
1/1/2014,54.701
2/1/2014,54.265
3/1/2014,56.873
4/1/2014,57.024
5/1/2014,53.664
6/1/2014,56.523
7/1/2014,55.851
8/1/2014,55.598
9/1/2014,51.906
10/1/2014,52.802
11/1/2014,52.578
12/1/2014,54.792
1/1/2015,55.394
2/1/2015,55.929
3/1/2015,56.169
4/1/2015,58.113
5/1/2015,55.604
6/1/2015,55.616
7/1/2015,55.191
8/1/2015,57.784
9/1/2015,64.018
10/1/2015,61.979
11/1/2015,61.057
12/1/2015,58.506
1/1/2016,59.159
2/1/2016,60.156
3/1/2016,57.522
4/1/2016,61.855
5/1/2016,65.079
6/1/2016,68.634
7/1/2016,67.483
8/1/2016,67.194
9/1/2016,66.127
10/1/2016,68.701
11/1/2016,69.191
12/1/2016,67.038
1/1/2017,74.37
2/1/2017,70.73
3/1/2017,72.493
4/1/2017,68.778
5/1/2017,71.987
6/1/2017,66.772
7/1/2017,70.422
8/1/2017,73.13
9/1/2017,75.143
10/1/2017,74.514
11/1/2017,73.548
12/1/2017,74.558
1/1/2018,78.653
2/1/2018,79.442
3/1/2018,82.165
4/1/2018,86.214
5/1/2018,79.607
6/1/2018,84.65
7/1/2018,88.68
8/1/2018,83.687
9/1/2018,83.752
10/1/2018,86.577
11/1/2018,81.292
12/1/2018,78.998
1/1/2019,79.024
2/1/2019,78.115
3/1/2019,79.219
4/1/2019,84.268
5/1/2019,85.087
6/1/2019,87.481
7/1/2019,89.062
8/1/2019,87.589
9/1/2019,89.844
10/1/2019,92.225
11/1/2019,98.237
12/1/2019,97.604
1/1/2020,94.9
2/1/2020,97.1
3/1/2020,101.9
4/1/2020,92.4
5/1/2020,96.2
6/1/2020,100.1
7/1/2020,94.2
8/1/2020,98
9/1/2020,107.5
10/1/2020,99.9
11/1/2020,107.2
12/1/2020,110.6
1/1/2021,111.2
2/1/2021,114
3/1/2021,116.8
4/1/2021,108.8
5/1/2021,111.2
6/1/2021,113.4
7/1/2021,116.8
8/1/2021,122.1
9/1/2021,123.8
10/1/2021,125.4
11/1/2021,128.1
12/1/2021,134.6
1/1/2022,139
2/1/2022,136.2
3/1/2022,140.2
4/1/2022,134.6
5/1/2022,129.8
6/1/2022,131
7/1/2022,126.4
8/1/2022,114.8
9/1/2022,112.1
10/1/2022,108.2
11/1/2022,99.4
12/1/2022,98
1/1/2023,92.9
2/1/2023,80.4
3/1/2023,100.9
4/1/2023,103.3
5/1/2023,105.3
6/1/2023,110.7
7/1/2023,105.8
8/1/2023,116.4
9/1/2023,129.5
10/1/2023,118
11/1/2023,129.6
12/1/2023,136.9
