Intra_fin,Cross_Jur,category
0.181649005,0.458379526,G-SIBs
0.13267779,0.301760775,G-SIBs
0.173864131,0.53907264,G-SIBs
0.110068644,0.254673558,G-SIBs
0.131650013,0.554031861,G-SIBs
0.188169345,0.859896138,G-SIBs
0.159164498,0.647661876,G-SIBs
0.201168929,0.805037733,G-SIBs
0.064826137,0.877939624,G-SIBs
0.354703348,0.972752476,Credit Suisse
0.57772024,1.151317339,UBS
0.111843183,0.039487854,G-SIBs
0.203574009,0.018839881,G-SIBs
0.187775839,0.288124548,G-SIBs
0.146604198,0.032038329,G-SIBs
0.354234118,0.038496942,G-SIBs
0.218171976,0.11353205,G-SIBs
0.091048705,0.058100573,G-SIBs
0.190807147,0.052323466,G-SIBs
0.248952247,0.016545803,G-SIBs
0.158820296,0.085255288,G-SIBs
0.278966408,0.047535596,G-SIBs
0.270911142,0.067145203,G-SIBs
0.23358101,0.011279141,G-SIBs
0.13407821,0.110803318,G-SIBs
0.307210674,0.03592287,G-SIBs
0.111084933,0.039343216,G-SIBs
0.297762976,0.046793581,G-SIBs
0.206286268,0.802787709,G-SIBs
0.237696838,1.333453344,G-SIBs
0.916619589,0.28683469,G-SIBs
0.184331239,0.580740388,G-SIBs
0.17703281,0.858392896,G-SIBs
0.040227889,0.212798058,G-SIBs
0.13611632,1.184605998,G-SIBs
0.199695057,1.116548783,G-SIBs
0.245127773,0.971993428,G-SIBs
0.137398126,0.292551169,G-SIBs
0.266262742,0.369011251,G-SIBs
0.14117642,0.188726409,G-SIBs
0.133950119,0.040725524,G-SIBs
0.333352437,0.708311876,G-SIBs
0.263838296,1.002635644,G-SIBs
0.187384056,1.081589915,G-SIBs
0.123599021,0.176463208,G-SIBs
0.215960015,0.496141539,G-SIBs
0.375359153,1.460804846,G-SIBs
0.128327966,0.068780953,G-SIBs
0.283400098,0.349668598,G-SIBs
0.386388575,0.981996843,G-SIBs
0.140327446,0.452383404,G-SIBs
0.155034522,0.516744496,G-SIBs
0.35798682,1.059040932,G-SIBs
0.146074121,0.728771443,G-SIBs
0.233237757,0.507447951,G-SIBs
0.215108123,0.39027574,G-SIBs
0.199835,0.139781554,G-SIBs
0.226152818,0.072230677,G-SIBs
0.19896216,0.039681789,G-SIBs
0.184678944,0.133928476,G-SIBs
0.267503761,1.813764031,G-SIBs
0.099879709,0.527453809,G-SIBs
0.288040115,0.935122034,G-SIBs
0.117063347,0.304967279,G-SIBs
0.103748871,0.023482346,G-SIBs
0.165877489,0.793548812,G-SIBs
0.198646695,0.674074238,G-SIBs
0.197568179,0.420816469,G-SIBs
0.189524213,0.5075214,G-SIBs
0.794307347,0.6598817,G-SIBs
0.084638437,0.041902378,G-SIBs
0.040803552,0.023249159,G-SIBs
0.977742247,0.953996492,G-SIBs
0.033925756,0.006467902,G-SIBs
0.061162572,0.065497249,G-SIBs
0.126044095,0.114349926,G-SIBs
