date,Foreign_BIG_Dep_CHF,Dollar_Dep_Dom_For
1/1/2019,111892154,89631344.35
2/1/2019,110225713.9,89122350.1
3/1/2019,109568692.6,89134906.94
4/1/2019,110671068.9,90270088.2
5/1/2019,107918682,85693178.84
6/1/2019,104793719.3,85365788.01
7/1/2019,104383918.1,85738333.08
8/1/2019,103192139.9,86721470.66
9/1/2019,102981705.5,88532897.75
10/1/2019,99122648.21,86702489.78
11/1/2019,97939043.99,88152377.19
12/1/2019,97503704.69,86087393.23
1/1/2020,95596566.13,86831587.29
2/1/2020,98019448.07,87649844.45
3/1/2020,112203038.4,100423066.2
4/1/2020,110144870.6,101880022.8
5/1/2020,113207878.2,103569905.5
6/1/2020,118007379.8,109127803.6
7/1/2020,121512783.6,111988966.4
8/1/2020,122395247.2,113031006.2
9/1/2020,123696419.3,112740861.9
10/1/2020,125069487,116197008.8
11/1/2020,126652159.9,114796925
12/1/2020,129057091.3,114694103.1
1/1/2021,128471679.7,118063203.2
2/1/2021,131267746.4,125554976
3/1/2021,135738626.7,129346932.7
4/1/2021,131451376.6,127329617.8
5/1/2021,130791410.3,124217245
6/1/2021,134811046.4,130165834.1
7/1/2021,131984897.9,126582838.6
8/1/2021,132557096.1,130355662.1
9/1/2021,133825729.6,134300394.2
10/1/2021,134719589.3,132976595.1
11/1/2021,134309353.3,133498032.1
12/1/2021,134337225.7,134200104.4
1/1/2022,137107222,142424101.3
2/1/2022,137709549.5,139200774.5
3/1/2022,137843921.7,138672631.7
4/1/2022,137700802,141742935.6
5/1/2022,135050133.6,134264239.1
6/1/2022,127702711.4,129352476.6
7/1/2022,123100345.1,124246574.9
8/1/2022,118054726.1,123192748.6
9/1/2022,111821839.3,119556481.2
10/1/2022,95477705.03,109926537.2
11/1/2022,87624828.7,100038032.8
12/1/2022,82586559.52,96569183.8
1/1/2023,79295700.21,96922059.76
