date,Rodney Local Board Area,Hibiscus and Bays Local Board Area,Upper Harbour Local Board Area,Kaipatiki Local Board Area,Devonport-Takapuna Local Board Area,Henderson-Massey Local Board Area,Waitakere Ranges Local Board Area,Great Barrier Local Board Area,Waiheke Local Board Area,Waitemata Local Board Area,Whau Local Board Area,Albert-Eden Local Board Area,Puketapapa Local Board Area,Orakei Local Board Area,Maungakiekie-Tamaki Local Board Area,Howick Local Board Area,Mangere-Otahuhu Local Board Area,Otara-Papatoetoe Local Board Area,Manurewa Local Board Area,Papakura Local Board Area,Franklin Local Board Area
2000,9.5,8.9,19.6,3.7,3.2,8.6,5,7,10.6,8.9,6.4,5.2,3.6,3.6,7,9.6,3.4,1.1,8.1,6.5,7.1
2001,8,8.4,20.6,2.3,2.6,8.6,3.8,5.5,18.3,18.6,4.6,4.1,3.3,5.1,3.7,11.5,3.8,4,7.3,3.5,6.1
2002,11.6,12.7,29,2.8,3.8,10.9,4.4,7.4,12.5,54.8,7.2,2.7,6.2,5.5,3.1,13,4.1,1.5,10.6,7,9.2
2003,11.4,12.4,20,3.5,2.9,9.4,9.3,5.7,13.3,40.2,3.9,3.3,2.7,4.2,2.1,11.9,5.9,3.5,8.8,6.9,12.2
2004,13.2,8.9,17.9,2.5,3.3,6.8,4.7,4.9,9.1,64.4,4.2,6.1,2.5,3.9,2.7,10.8,4.6,2.2,5.3,5.7,13.2
2005,12.3,6,17,1.3,1.8,4.9,4.3,6.2,8,18.4,2.3,2.7,2.3,3.1,3.3,7.8,3.2,4.7,3.5,7.1,10.1
2006,8.7,5.8,14.1,1.5,6.9,4.8,4.1,7.4,5.6,14.6,2.8,1.5,3.3,2.8,3.4,7.3,3.6,1.7,3.6,4.8,11.4
2007,8.2,4.5,13.6,1.3,3.9,4.4,2.4,7.7,7.2,9.8,2.5,2.3,1.9,3.7,3.8,5.6,2.5,1.3,2.3,2.5,12.1
2008,8.4,4,4.8,0.7,1.2,4.3,2.4,14.8,4.9,8.4,1.6,1.7,2,2.8,2.7,3,1.6,1.3,0.9,3.2,5.3
2009,4.9,4.5,5.9,1.2,1.7,3.3,2.6,6.9,5.4,1.9,0.9,1.6,2,3.7,1.4,2.5,1.1,0.6,0.8,4.2,3.4
2010,5.4,4.2,7.2,0.7,1.4,2.7,2.2,9.9,6.1,0.5,1.4,1.7,2.5,3.6,1.8,2.4,1,1,1.2,5.3,4.7
2011,5.3,4.2,6.7,1.2,2.2,1.9,2.1,2.2,4.8,1.3,1.5,2.9,2.7,4.3,2,3.3,0.6,1.1,0.4,4,3.1
2012,6.1,6.8,6.1,1.5,1.3,2.9,1.8,4.2,5.1,4.5,2.6,1,1.6,4.6,1.7,3.8,0.8,0.8,0.8,7.4,4.4
2013,8.2,10,9.6,1.5,1.5,3.4,1.7,3.2,4.3,5.9,3.6,1.4,4.1,5.8,2.4,4,0.9,3,1.1,10.3,6
2014,9.5,9.2,17.5,1.9,3,3,2,6.2,6.5,9.1,4.6,2,3.1,4,3.1,4.9,1.5,2.1,3.3,10.8,6.7
2015,13.6,12.1,18.1,3.7,2.4,2.5,2.9,2.1,7.2,13.1,2.5,2.3,3.6,5.9,6.1,4.1,2.9,2.1,3.5,10.2,8.1
2016,13.6,13.3,16.4,2.5,3.8,3.7,4.2,6.2,7,11.2,3.7,5,2.7,2.9,5.4,3.6,2.7,2.9,3.7,12.8,12.8
2017,15.9,9.9,21.6,4,3.1,3.1,2.8,9.3,6,14.9,4,3.9,4,3,8,4.2,3,4.7,4.3,9.7,10.4
2018,11.2,10.2,20.4,4.2,7.2,6,3.3,7.3,5.1,10.3,7.4,5.8,5.8,4.8,9.6,5.5,6.5,5,6.6,15.4,9.1
2019,11.5,8.3,16.7,6.2,7.1,9,9.5,5.1,5.4,10.4,7.7,8.1,8.5,6.7,12.8,6.6,8.2,5.2,5.4,22.5,10
2020,15.6,10.1,17.1,5.7,6.5,12,7.2,13.5,4.5,9.1,8,5.4,6.9,4.6,12.8,10.4,7.2,9.6,5.1,23.4,12
2021,18.5,14.7,16.9,11.5,10.8,16.6,4.9,17.3,3.8,6.9,12.7,9.5,11.9,7.1,15.6,11.6,8.8,8.3,8.6,17.4,16.6
2022,17,7.9,13.9,7.2,9.9,21.7,11.4,11.3,6.4,4,13.4,6.7,6.9,11.8,26.2,11.6,12.5,7.8,11.5,23.9,13.7
2023,11,7.2,9.8,6.6,8.5,13.8,8.8,8.6,5.5,1.8,8.2,7.2,8.7,6.8,9.3,7.4,10.9,7.8,10.3,17.6,8.4
