Date,LA,LB,NYNJ
1/1/2018,422831.95,324656,309003
2/1/2018,383089.55,342247,274638
3/1/2018,264460.05,267824,288462
4/1/2018,361108.3,312376,272903
5/1/2018,405586.8,361056,302081
6/1/2018,382964,384095,310481
7/1/2018,438164.55,347736,322093
8/1/2018,420573.25,343029,333567
9/1/2018,414281.5,357301,304125
10/1/2018,485823.55,364084,339602
11/1/2018,422792.65,319877,301826
12/1/2018,468905.85,373098,317332
1/1/2019,429922.75,323838,327345
2/1/2019,348315.75,302865,295523
3/1/2019,297186.95,247039,282981
4/1/2019,360744.65,317883,297825
5/1/2019,427789,290568,340680
6/1/2019,396306.5,331617,301708
7/1/2019,476438.2,313350,336972
8/1/2019,437613.25,322780,342541
9/1/2019,402319.85,354919,315866
10/1/2019,392768.6,337062,339443
11/1/2019,371349.7,293287,301123
12/1/2019,373511,323231,288964
1/1/2020,414730.85,309961,322643
2/1/2020,270025.05,248592,300445
3/1/2020,220254.55,234570,271511
4/1/2020,370111,253540,284074
5/1/2020,306323,312590,266004
6/1/2020,369188.9,300714,264054
7/1/2020,456028.7,376807,326079
8/1/2020,516285.95,364792,366887
9/1/2020,471794.5,405618,374649
10/1/2020,506613.2,402408,403103
11/1/2020,464819.7,382677,382912
12/1/2020,460865,406072,358325
1/1/2021,437609.2,364255,371392
2/1/2021,412884.25,373756,334176
3/1/2021,490115,408172,393159
4/1/2021,490126.85,367151,359265
5/1/2021,535714.2,444736,396417
6/1/2021,467763.25,357101,386771
7/1/2021,469360.85,382940,393945
8/1/2021,485672.15,407426,399716
9/1/2021,468059.15,370230,379190
10/1/2021,467286.65,385000,398535
11/1/2021,403443.9,362394,382074
12/1/2021,385250.7,358687,392384
1/1/2022,427207.7,389334,398215
2/1/2022,424072.85,390335,385539
3/1/2022,495195.8,427280,442976
,,,
