date,GDP,URATE,PCE,CORE
2007-10-01,0.76,0.53,0.35,0.06
2008-01-01,0.88,0.76,0.29,0.29
2008-04-01,0.82,0.71,0.59,0.41
2008-06-01,0.76,0.65,0.82,0.47
2008-10-01,1,0.94,0.65,0.71
2009-01-01,1,1,0.88,0.88
2009-04-01,1,1,0.82,0.82
2009-06-01,0.94,0.94,0.76,0.76
2009-11-01,0.94,0.82,0.76,0.82
2010-01-01,0.82,0.71,0.71,0.76
2010-04-01,0.71,0.76,0.71,0.65
2010-06-01,0.82,0.76,0.71,0.65
2010-11-01,0.89,0.83,0.72,0.72
2011-01-01,0.72,0.67,0.72,0.67
2011-04-01,0.59,0.65,0.71,0.59
2011-06-01,0.76,0.76,0.76,0.65
2011-11-01,0.94,0.82,0.65,0.59
2012-01-01,0.94,0.82,0.53,0.47
2012-04-01,0.76,0.76,0.47,0.35
2012-06-01,0.95,0.95,0.47,0.37
2012-09-01,0.89,0.89,0.37,0.32
2012-12-01,0.95,0.89,0.26,0.26
2013-03-01,0.63,0.63,0.16,0.16
2013-06-01,0.37,0.32,0.16,0.16
2013-09-01,0.24,0.24,0.12,0.12
2013-12-01,0.18,0.18,0,0
2014-03-01,0.12,0.12,0.06,0.06
2014-06-01,0.19,0.12,0.12,0.12
2014-09-01,0.24,0.24,0.06,0.06
2014-12-01,0.06,0.12,0.24,0.12
2015-03-01,0.12,0.12,0.24,0.18
2015-06-01,0.18,0.12,0.18,0.06
2015-09-01,0.12,0.06,0.18,0.18
2015-12-01,0.12,0.06,0.12,0.12
2016-03-01,0,0,0.12,0.06
2016-06-01,0.18,0.06,0.06,0
2016-09-01,0,0,0.12,-0.06
2016-12-01,0.35,0.29,0.24,0.18
2017-03-01,0.29,0.24,0.18,0.18
2017-06-01,0.12,0,0,0
2017-09-01,0.12,0,0,0
2017-12-01,0.12,0.12,0,0
2018-03-01,0.07,0.07,0,0
2018-06-01,0.07,0.07,0.07,0.07
2018-09-01,0.12,0.19,0.06,0.06
2018-12-01,0.18,0.29,0.06,0.06
2019-03-01,0.18,0.24,0.12,0.12
2019-06-01,0.35,0.47,0.18,0.18
2019-09-01,0.35,0.47,0.24,0.24
2019-12-01,0.24,0.24,0.12,0.12
2020-06-01,1,1,1,1
2020-09-01,1,1,0.94,0.94
2020-12-01,0.94,0.94,0.82,0.82
2021-03-01,0.83,0.89,0.89,0.89
2021-06-01,0.83,0.89,1,1
2021-09-01,0.94,0.89,1,1
2021-12-01,0.94,0.94,1,1
2022-03-01,0.94,0.88,1,1
2022-06-01,1,0.94,1,1
2022-09-01,1,1,1,1
2022-12-01,0.95,0.89,1,1
2023-03-01,1,0.94,0.94,0.94
2023-06-01,0.78,0.78,0.83,0.83
2023-09-01,0.74,0.63,0.79,0.79
2023-12-01,0.79,0.68,0.79,0.79
