date,health_old,health_new,edu_old,edu_new,protect_old,protect_new,justice_fire_old,justice_fire_new,military_old,military_new
1/1/2018,39358,39198,17111,17150,11205,11030,2587,2579,10049,10085
4/1/2018,39353,39284,17306,17043,11278,11172,2542,2532,10153,10185
7/1/2018,39341,39228,17526,17410,11442,11385,2599,2616,9896,10014
10/1/2018,39717,39725,17526,17522,11508,11489,2510,2521,10361,10510
1/1/2019,39800,39879,18103,18338,11589,11570,2516,2514,10727,10734
4/1/2019,40106,39932,18596,18655,11640,11642,2512,2505,10600,10588
7/1/2019,40232,40317,18729,18562,11655,11672,2504,2515,10734,10760
10/1/2019,40350,40241,18631,18140,11673,11727,2484,2493,10910,10952
1/1/2020,39560,39494,16698,15893,11757,11765,2489,2476,10630,10386
4/1/2020,28241,28318,8875,8211,11816,11878,2259,2252,10565,10306
7/1/2020,35896,36200,15900,14613,11887,11999,2229,2242,10658,10457
10/1/2020,39242,39922,17049,15898,11952,12130,2280,2298,10660,10534
1/1/2021,41009,42532,13323,12814,11964,12219,2294,2302,11058,10695
4/1/2021,44692,46260,17527,17135,12094,12306,2364,2347,11272,10949
7/1/2021,44990,46790,17654,17442,12242,12346,2334,2327,10782,10463
10/1/2021,46645,48739,17622,17579,12368,12061,2380,2363,10995,10587
1/1/2022,44795,46499,17594,18614,12349,12396,2459,2449,11087,10665
4/1/2022,41840,43550,17878,18821,12317,12437,2417,2414,10972,10490
7/1/2022,41957,43154,18080,18957,12324,12509,2563,2567,11258,10828
10/1/2022,42219,43409,17814,18593,12258,12537,2483,2432,11044,10697
1/1/2023,41828,43043,17676,18640,12296,12578,2492,2433,10666,10121
4/1/2023,42306,43667,17962,18897,12391,12688,2467,2416,11631,11224
